workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
40,2,scale-n040-x004,20,20,20,18,3762.9612404500003
40,2,scale-n040-x005,20,20,20,17,3694.0488096
40,2,scale-n040-x006,20,20,20,17,3724.67126965
40,2,scale-n040-x007,20,20,20,17,3546.7590009500004
40,2,scale-n040-x008,20,20,20,18,3925.1648594
40,2,scale-n040-x009,20,20,20,18,4072.42949745
40,2,scale-n040-x010,20,20,20,18,4048.5993318
40,2,scale-n040-x011,20,20,20,18,4125.97601505
40,2,scale-n040-x012,20,20,20,18,3898.6756546999995
40,2,scale-n040-x013,20,20,20,18,4412.0422407
40,2,scale-n040-x014,20,20,20,18,4019.0829333
40,2,scale-n040-x015,20,20,20,18,4138.963578749999
40,2,scale-n040-x016,20,20,20,18,3941.8289506499996
40,2,scale-n040-x017,20,20,20,19,4474.4048268999995
40,2,scale-n040-x018,20,20,20,19,4446.204722
40,2,scale-n040-x019,20,20,20,18,4716.906224349999
40,2,scale-n040-x020,20,20,20,19,4423.3705039
40,2,scale-n040-x021,20,20,20,19,4178.9257999
40,2,scale-n040-x022,20,20,20,19,4586.9105967000005
40,2,scale-n040-x023,20,20,20,19,4408.5643208
40,2,scale-n040-x024,20,20,20,19,4298.6159045
40,2,scale-n040-x025,20,20,20,19,4901.13612245
40,2,scale-n040-x026,20,20,20,19,4828.66047945
40,2,scale-n040-x027,20,20,20,20,4662.1444135500005
40,2,scale-n040-x028,20,20,20,20,4426.0498223
40,2,scale-n040-x029,20,20,20,20,4958.9155397
40,2,scale-n040-x030,20,20,20,20,4541.61730225
40,2,scale-n040-x031,20,20,20,20,4863.15910965
40,2,scale-n040-x032,20,20,20,20,4504.633715800001
40,2,scale-n040-x033,20,20,20,20,5013.2967479
40,2,scale-n040-x034,20,20,20,20,4648.04883255
40,2,scale-n040-x035,20,20,20,20,5119.5287504
40,2,scale-n040-x036,20,20,20,20,4816.3129654
40,2,scale-n040-x037,20,20,20,20,4892.7196512499995
40,2,scale-n040-x038,20,20,20,20,4586.647382249999
40,2,scale-n040-x039,20,20,20,20,4994.85098045
35,2,scale-n035-x000,20,20,20,2,654.70537025
35,2,scale-n035-x001,20,20,20,3,667.42593225
35,2,scale-n035-x002,20,20,20,4,681.5809261
35,2,scale-n035-x003,20,20,20,5,726.0528151
35,2,scale-n035-x004,20,20,20,5,783.8816782
35,2,scale-n035-x005,20,20,20,6,775.94711035
35,2,scale-n035-x006,20,20,20,7,801.3841042
35,2,scale-n035-x007,20,20,20,9,854.17217445
35,2,scale-n035-x008,20,20,20,7,835.86233705
35,2,scale-n035-x009,20,20,20,9,922.7818725
35,2,scale-n035-x010,20,20,20,9,930.5496722
35,2,scale-n035-x011,20,20,20,8,912.7808431999999
35,2,scale-n035-x012,20,20,20,11,986.400273
35,2,scale-n035-x013,20,20,20,10,1021.3510507000001
35,2,scale-n035-x014,20,20,20,10,1033.8873996
35,2,scale-n035-x015,20,20,20,11,1041.31596025
35,2,scale-n035-x016,20,20,20,13,1038.84761185
35,2,scale-n035-x017,20,20,20,16,1138.0016086
35,2,scale-n035-x018,20,20,20,15,1147.2323744
35,2,scale-n035-x019,20,20,20,16,1210.55794615
35,2,scale-n035-x020,20,20,20,15,1189.2218903
35,2,scale-n035-x021,20,20,20,16,1219.96552275
35,2,scale-n035-x022,20,20,20,14,1216.7771364
35,2,scale-n035-x023,20,20,20,16,1266.58373865
35,2,scale-n035-x024,20,20,20,16,1326.0370499
35,2,scale-n035-x025,20,20,20,17,1347.5070380000002
35,2,scale-n035-x026,20,20,20,17,1377.6612757
35,2,scale-n035-x027,20,20,20,17,1408.0462454
35,2,scale-n035-x028,20,20,20,17,1440.76514
35,2,scale-n035-x029,20,20,20,18,1447.3255897499998
35,2,scale-n035-x030,20,20,20,18,1477.14225995
35,2,scale-n035-x031,20,20,20,18,1541.1176176
35,2,scale-n035-x032,20,20,20,18,1523.94779605
35,2,scale-n035-x033,20,20,20,18,1533.0743570999998
35,2,scale-n035-x034,20,20,20,18,1577.24448975
30,2,scale-n030-x000,20,20,20,0,309.2742357
30,2,scale-n030-x001,20,20,20,0,279.7567399
30,2,scale-n030-x002,20,20,20,0,259.23453125000003
30,2,scale-n030-x003,20,20,20,0,309.11018694999996
30,2,scale-n030-x004,20,20,20,0,333.3868997
30,2,scale-n030-x005,20,20,20,0,333.69064979999996
30,2,scale-n030-x006,20,20,20,0,365.02050305
30,2,scale-n030-x007,20,20,20,0,397.4420287
30,2,scale-n030-x008,20,20,20,0,390.89138775000004
30,2,scale-n030-x009,20,20,20,0,402.32892585
30,2,scale-n030-x010,20,20,20,0,458.94310210000003
30,2,scale-n030-x011,20,20,20,0,458.85672065
30,2,scale-n030-x012,20,20,20,0,500.55775194999995
30,2,scale-n030-x013,20,20,20,0,520.5896018000001
30,2,scale-n030-x014,20,20,20,0,558.9404582
30,2,scale-n030-x015,20,20,20,0,571.81696205
30,2,scale-n030-x016,20,20,20,0,594.95202215
